PERMIT_TYPE	WDID	APP_ID	REPORTING_YEAR	REPORT_ID	EVENT_TYPE	MONITORING_LOCATION_NAME	MONITORING_LOCATION_TYPE	MONITOR_LOCATION_DESCRIPTION	MONITORING_LATITUDE	MONITORING_LONGITUDE	SAMPLE_ID	SAMPLE_DATE	SAMPLE_TIME	DISCHARGE_START_DATE	DISCHARGE_START_TIME	PARAMETER	RESULT_QUALIFIER	RESULT	UNITS	ANALYTICAL_METHOD	MDL	RL	DISCHARGE_END_DATE	DISCHARGE_END_TIME	CERTIFIER_NAME	CERTIFIED_DATE
Industrial	1 08I004046	178203	2017	977380	Qualifying Storm Event	CL-1	Effluent Monitoring		41.746537	-124.17697	2327628	11/16/2017	09:00	11/16/2017	07:00	Oil and Grease	=	1.4	mg/L	A5220B	.95	5.2			Joel Wallen	05-MAR-18 05.19.37.799000 PM
Industrial	1 08I004046	178203	2017	993540	Qualifying Storm Event	CL-1	Effluent Monitoring		41.746537	-124.17697	2340955	12/20/2017	10:00	12/19/2017	24:00	Total Suspended Solids (TSS)	ND		mg/L	A2540D	.6	1			Joel Wallen	06-MAR-18 07.48.48.060000 AM
Industrial	1 08I004046	178203	2017	993540	Qualifying Storm Event	CL-1	Effluent Monitoring		41.746537	-124.17697	2340955	12/20/2017	10:00	12/19/2017	24:00	Oil and Grease	ND		mg/L	E1664B	.89	4.8			Joel Wallen	06-MAR-18 07.48.48.060000 AM
Industrial	1 08I004046	178203	2017	993540	Qualifying Storm Event	CL-1	Effluent Monitoring		41.746537	-124.17697	2340955	12/20/2017	10:00	12/19/2017	24:00	Zinc, Total	=	.005	mg/L	E200.7	.37	5			Joel Wallen	06-MAR-18 07.48.48.060000 AM
Industrial	1 08I004046	178203	2017	993540	Qualifying Storm Event	CL-1	Effluent Monitoring		41.746537	-124.17697	2340955	12/20/2017	10:00	12/19/2017	24:00	pH	=	6.3	SU	A4500HB	2	14			Joel Wallen	06-MAR-18 07.48.48.060000 AM
Industrial	1 08I004046	178203	2017	993540	Qualifying Storm Event	CL-1	Effluent Monitoring		41.746537	-124.17697	2340955	12/20/2017	10:00	12/19/2017	24:00	Lead, Total	ND		mg/L	E200.7	2.2	5			Joel Wallen	06-MAR-18 07.48.48.060000 AM
Industrial	1 08I004046	178203	2018	1042490	Qualifying Storm Event	CL-1	Effluent Monitoring		41.746537	-124.17697	2419332	12/20/2018	07:00	12/18/2018	04:00	Lead, Total	ND		mg/L	E200.7	2.2	5			Joel Wallen	15-JUL-19 09.10.03.742000 AM
Industrial	1 08I004046	178203	2018	1042490	Qualifying Storm Event	CL-1	Effluent Monitoring		41.746537	-124.17697	2419332	12/20/2018	07:00	12/18/2018	04:00	Zinc, Total	=	.0033	mg/L	E200.7	.37	5			Joel Wallen	15-JUL-19 09.10.03.742000 AM
Industrial	1 08I004046	178203	2018	1042490	Qualifying Storm Event	CL-1	Effluent Monitoring		41.746537	-124.17697	2419332	12/20/2018	07:00	12/18/2018	04:00	Oil and Grease	ND		mg/L	E1664B	4.4	5			Joel Wallen	15-JUL-19 09.10.03.742000 AM
Industrial	1 08I004046	178203	2018	1042490	Qualifying Storm Event	CL-1	Effluent Monitoring		41.746537	-124.17697	2419332	12/20/2018	07:00	12/18/2018	04:00	pH	=	6	SU	A4500HB	11	3			Joel Wallen	15-JUL-19 09.10.03.742000 AM
Industrial	1 08I004046	178203	2018	1042490	Qualifying Storm Event	CL-1	Effluent Monitoring		41.746537	-124.17697	2419332	12/20/2018	07:00	12/18/2018	04:00	Total Suspended Solids (TSS)	=	2	mg/L	A2540D	.6	1			Joel Wallen	15-JUL-19 09.10.03.742000 AM
Industrial	1 08I004046	178203	2018	1055037	Qualifying Storm Event	CL-1	Effluent Monitoring		41.746537	-124.17697	2444757	02/28/2019	09:00	02/26/2019	04:00	Oil and Grease	ND		mg/L	E1664B	4.5	5.1			Joel Wallen	15-JUL-19 09.10.03.742000 AM
Industrial	1 08I004046	178203	2018	1055037	Qualifying Storm Event	CL-1	Effluent Monitoring		41.746537	-124.17697	2444757	02/28/2019	09:00	02/26/2019	04:00	Zinc, Total	=	.00012	mg/L	E200.7	.37	5			Joel Wallen	15-JUL-19 09.10.03.742000 AM
Industrial	1 08I004046	178203	2018	1055037	Qualifying Storm Event	CL-1	Effluent Monitoring		41.746537	-124.17697	2444757	02/28/2019	09:00	02/26/2019	04:00	Lead, Total	ND		mg/L	E200.7	2.2	5			Joel Wallen	15-JUL-19 09.10.03.742000 AM
Industrial	1 08I004046	178203	2018	1055037	Qualifying Storm Event	CL-1	Effluent Monitoring		41.746537	-124.17697	2444757	02/28/2019	09:00	02/26/2019	04:00	Total Suspended Solids (TSS)	=	1.8	mg/L	A2540D	.6	1			Joel Wallen	15-JUL-19 09.10.03.742000 AM
Industrial	1 08I004046	178203	2018	1055037	Qualifying Storm Event	CL-1	Effluent Monitoring		41.746537	-124.17697	2444757	02/28/2019	09:00	02/26/2019	04:00	pH	=	6	SU	pH_Paper	11	3			Joel Wallen	15-JUL-19 09.10.03.742000 AM
Industrial	1 08I004046	178203	2019	1097459	Qualifying Storm Event	CL-1	Effluent Monitoring		41.746537	-124.17697	2494174	12/24/2019	08:00	12/21/2019	04:00	Oil and Grease	ND		mg/L	E1664B	3.4	4.8			Joel Wallen	17-JAN-20 02.28.09.297000 PM
Industrial	1 08I004046	178203	2019	1097459	Qualifying Storm Event	CL-1	Effluent Monitoring		41.746537	-124.17697	2494174	12/24/2019	08:00	12/21/2019	04:00	Total Suspended Solids (TSS)	=	2	mg/L	A2540D	.8	1			Joel Wallen	17-JAN-20 02.28.09.297000 PM
Industrial	1 08I004046	178203	2019	1097459	Qualifying Storm Event	CL-1	Effluent Monitoring		41.746537	-124.17697	2494174	12/24/2019	08:00	12/21/2019	04:00	pH	=	6.3	SU	pH_Paper	11	3			Joel Wallen	17-JAN-20 02.28.09.297000 PM
Industrial	1 08I004046	178203	2019	1097459	Qualifying Storm Event	CL-1	Effluent Monitoring		41.746537	-124.17697	2494174	12/24/2019	08:00	12/21/2019	04:00	Lead, Total	ND		mg/L	E200.7	2.2	5			Joel Wallen	17-JAN-20 02.28.09.297000 PM
Industrial	1 08I004046	178203	2019	1097459	Qualifying Storm Event	CL-1	Effluent Monitoring		41.746537	-124.17697	2494174	12/24/2019	08:00	12/21/2019	04:00	Zinc, Total	=	.0093	mg/L	E200.7	.37	5			Joel Wallen	17-JAN-20 02.28.09.297000 PM
Industrial	1 08I004046	178203	2019	1106465	Qualifying Storm Event	CL-1	Effluent Monitoring		41.746537	-124.17697	2518068	04/08/2020	07:00	04/04/2020	04:00	pH	=	6.7	SU	A4500HB	10	3			Joel Wallen	29-APR-20 04.49.24.669000 PM
Industrial	1 08I004046	178203	2019	1106465	Qualifying Storm Event	CL-1	Effluent Monitoring		41.746537	-124.17697	2518068	04/08/2020	07:00	04/04/2020	04:00	Lead, Total	ND		mg/L	E200.7	2.2	5			Joel Wallen	29-APR-20 04.49.24.669000 PM
Industrial	1 08I004046	178203	2019	1106465	Qualifying Storm Event	CL-1	Effluent Monitoring		41.746537	-124.17697	2518068	04/08/2020	07:00	04/04/2020	04:00	Zinc, Total	=	.0039	mg/L	E200.7	.37	5			Joel Wallen	29-APR-20 04.49.24.669000 PM
Industrial	1 08I004046	178203	2019	1106465	Qualifying Storm Event	CL-1	Effluent Monitoring		41.746537	-124.17697	2518068	04/08/2020	07:00	04/04/2020	04:00	Oil and Grease	=	4.3	mg/L	E1664B	3.2	4.6			Joel Wallen	29-APR-20 04.49.24.669000 PM
Industrial	1 08I004046	178203	2019	1106465	Qualifying Storm Event	CL-1	Effluent Monitoring		41.746537	-124.17697	2518068	04/08/2020	07:00	04/04/2020	04:00	Total Suspended Solids (TSS)	=	2.4	mg/L	A2540D	.6	1			Joel Wallen	29-APR-20 04.49.24.669000 PM
Industrial	1 08I004046	178203	2020	1138353	Qualifying Storm Event	CL-1	Effluent Monitoring		41.746537	-124.17697	2542675	12/18/2020	08:00	12/16/2020	12:00	Oil and Grease	ND		mg/L	E1664B	3.3	4.7	12/19/2020	12:00	Joel Wallen	01-MAR-21 09.23.53.300000 AM
Industrial	1 08I004046	178203	2020	1138353	Qualifying Storm Event	CL-1	Effluent Monitoring		41.746537	-124.17697	2542675	12/18/2020	08:00	12/16/2020	12:00	Total Suspended Solids (TSS)	=	2	mg/L	A2540D	.6	1	12/19/2020	12:00	Joel Wallen	01-MAR-21 09.23.53.300000 AM
Industrial	1 08I004046	178203	2020	1138353	Qualifying Storm Event	CL-1	Effluent Monitoring		41.746537	-124.17697	2542675	12/18/2020	08:00	12/16/2020	12:00	Zinc, Total	=	.0084	mg/L	E200.7	.37	5	12/19/2020	12:00	Joel Wallen	01-MAR-21 09.23.53.300000 AM
Industrial	1 08I004046	178203	2020	1138353	Qualifying Storm Event	CL-1	Effluent Monitoring		41.746537	-124.17697	2542675	12/18/2020	08:00	12/16/2020	12:00	Lead, Total	ND		mg/L	E200.7	2.2	5	12/19/2020	12:00	Joel Wallen	01-MAR-21 09.23.53.300000 AM
Industrial	1 08I004046	178203	2020	1138353	Qualifying Storm Event	CL-1	Effluent Monitoring		41.746537	-124.17697	2542675	12/18/2020	08:00	12/16/2020	12:00	pH	=	6.4	SU	A4500HB	11	3	12/19/2020	12:00	Joel Wallen	01-MAR-21 09.23.53.300000 AM
Industrial	1 08I004046	178203	2021	1169457	Qualifying Storm Event	CL-1	Effluent Monitoring		41.746537	-124.17697	2581250	10/25/2021	07:30	10/22/2021	12:00	Total Suspended Solids (TSS)	=	1.8	mg/L	A2540D	.6	1	10/25/2021	12:00	Joel Wallen	23-NOV-21 04.58.15.867000 PM
Industrial	1 08I004046	178203	2021	1169457	Qualifying Storm Event	CL-1	Effluent Monitoring		41.746537	-124.17697	2581250	10/25/2021	07:30	10/22/2021	12:00	Oil and Grease	ND		mg/L	E1664B	1.6	4.7	10/25/2021	12:00	Joel Wallen	23-NOV-21 04.58.15.867000 PM
Industrial	1 08I004046	178203	2021	1169457	Qualifying Storm Event	CL-1	Effluent Monitoring		41.746537	-124.17697	2581250	10/25/2021	07:30	10/22/2021	12:00	Zinc, Total	ND		mg/L		16	25	10/25/2021	12:00	Joel Wallen	23-NOV-21 04.58.15.867000 PM
Industrial	1 08I004046	178203	2021	1169457	Qualifying Storm Event	CL-1	Effluent Monitoring		41.746537	-124.17697	2581250	10/25/2021	07:30	10/22/2021	12:00	Lead, Total	ND		mg/L		1.15	5	10/25/2021	12:00	Joel Wallen	23-NOV-21 04.58.15.867000 PM
Industrial	1 08I004046	178203	2021	1169457	Qualifying Storm Event	CL-1	Effluent Monitoring		41.746537	-124.17697	2581250	10/25/2021	07:30	10/22/2021	12:00	pH	=	6.2	SU	A4500HB	11	3	10/25/2021	12:00	Joel Wallen	23-NOV-21 04.58.15.867000 PM
Industrial	1 08I004046	178203	2021	1182123	Qualifying Storm Event	CL-1	Effluent Monitoring		41.746537	-124.17697	2609337	04/21/2022	07:00	04/19/2022		Total Suspended Solids (TSS)	=	9.6	mg/L	A2540D	.6	1	03/23/2022	12:00	Joel Wallen	09-MAY-22 09.49.49.171000 AM
Industrial	1 08I004046	178203	2021	1182123	Qualifying Storm Event	CL-1	Effluent Monitoring		41.746537	-124.17697	2609337	04/21/2022	07:00	04/19/2022		Oil and Grease	ND		mg/L	E1664B	1.8	5.3	03/23/2022	12:00	Joel Wallen	09-MAY-22 09.49.49.171000 AM
Industrial	1 08I004046	178203	2021	1182123	Qualifying Storm Event	CL-1	Effluent Monitoring		41.746537	-124.17697	2609337	04/21/2022	07:00	04/19/2022		Zinc, Total	=	.0048	mg/L	E200.7	2.7	5	03/23/2022	12:00	Joel Wallen	09-MAY-22 09.49.49.171000 AM
Industrial	1 08I004046	178203	2021	1182123	Qualifying Storm Event	CL-1	Effluent Monitoring		41.746537	-124.17697	2609337	04/21/2022	07:00	04/19/2022		pH	=	6.5	SU	A4500HB	3	11	03/23/2022	12:00	Joel Wallen	09-MAY-22 09.49.49.171000 AM
Industrial	1 08I004046	178203	2021	1182123	Qualifying Storm Event	CL-1	Effluent Monitoring		41.746537	-124.17697	2609337	04/21/2022	07:00	04/19/2022		Lead, Total	ND		mg/L	E200.7	2.9	5	03/23/2022	12:00	Joel Wallen	09-MAY-22 09.49.49.171000 AM
Industrial	1 08I004046	178203	2022	1221222	Qualifying Storm Event	CL-1	Effluent Monitoring		41.746537	-124.17697	2637691	12/13/2022	07:30	12/09/2022	12:00	pH	=	6.2	SU	A4500HB	11	3	12/15/2022	12:00	Joel Wallen	24-JAN-23 03.59.24.598000 PM
Industrial	1 08I004046	178203	2022	1221222	Qualifying Storm Event	CL-1	Effluent Monitoring		41.746537	-124.17697	2637691	12/13/2022	07:30	12/09/2022	12:00	Lead, Total	ND		mg/L	E200.7	2.9	5	12/15/2022	12:00	Joel Wallen	24-JAN-23 03.59.24.598000 PM
Industrial	1 08I004046	178203	2022	1221222	Qualifying Storm Event	CL-1	Effluent Monitoring		41.746537	-124.17697	2637691	12/13/2022	07:30	12/09/2022	12:00	Zinc, Total	=	.0093	mg/L	E200.7	2.7	5	12/15/2022	12:00	Joel Wallen	24-JAN-23 03.59.24.598000 PM
Industrial	1 08I004046	178203	2022	1221222	Qualifying Storm Event	CL-1	Effluent Monitoring		41.746537	-124.17697	2637691	12/13/2022	07:30	12/09/2022	12:00	Oil and Grease	ND		mg/L	E1664B	2.6	5	12/15/2022	12:00	Joel Wallen	24-JAN-23 03.59.24.598000 PM
Industrial	1 08I004046	178203	2022	1221222	Qualifying Storm Event	CL-1	Effluent Monitoring		41.746537	-124.17697	2637691	12/13/2022	07:30	12/09/2022	12:00	Total Suspended Solids (TSS)	=	2.3	mg/L	A2540D	.78	1	12/15/2022	12:00	Joel Wallen	24-JAN-23 03.59.24.598000 PM
Industrial	1 08I004046	178203	2023	1273140	Qualifying Storm Event	CL-1	Effluent Monitoring		41.746537	-124.17697	2735534	01/16/2024	08:00	01/13/2024	00:00	Zinc, Total	=	.005	mg/L	E200.7	5	1.8	01/17/2024	08:00	Joel Wallen	30-JAN-24 09.38.19.444000 AM
Industrial	1 08I004046	178203	2023	1273140	Qualifying Storm Event	CL-1	Effluent Monitoring		41.746537	-124.17697	2735534	01/16/2024	08:00	01/13/2024	00:00	Total Suspended Solids (TSS)	=	3.4	mg/L	A2540D	2.5	1	01/17/2024	08:00	Joel Wallen	30-JAN-24 09.38.19.444000 AM
Industrial	1 08I004046	178203	2023	1273140	Qualifying Storm Event	CL-1	Effluent Monitoring		41.746537	-124.17697	2735534	01/16/2024	08:00	01/13/2024	00:00	Oil and Grease	ND		mg/L	E1664B	4.6	2.4	01/17/2024	08:00	Joel Wallen	30-JAN-24 09.38.19.444000 AM
Industrial	1 08I004046	178203	2023	1273140	Qualifying Storm Event	CL-1	Effluent Monitoring		41.746537	-124.17697	2735534	01/16/2024	08:00	01/13/2024	00:00	Lead, Total	ND		mg/L	E200.7	5	1.6	01/17/2024	08:00	Joel Wallen	30-JAN-24 09.38.19.444000 AM
Industrial	1 08I004046	178203	2023	1273140	Qualifying Storm Event	CL-1	Effluent Monitoring		41.746537	-124.17697	2735534	01/16/2024	08:00	01/13/2024	00:00	pH	=	6.2	SU	A4500HB	10	3	01/17/2024	08:00	Joel Wallen	30-JAN-24 09.38.19.444000 AM
Industrial	1 08I004046	178203	2024	1316098	Qualifying Storm Event	CL-1	Effluent Monitoring		41.746537	-124.17697	2792487	11/15/2024	07:00	11/13/2024	00:00	Oil and Grease	ND		mg/L	E1664B	2.6	5	11/16/2024	08:00	Joel Wallen	11-DEC-24 03.52.35.598000 PM
Industrial	1 08I004046	178203	2024	1316098	Qualifying Storm Event	CL-1	Effluent Monitoring		41.746537	-124.17697	2792487	11/15/2024	07:00	11/13/2024	00:00	Zinc, Total	=	.0089	mg/L	E200.7	1.8	5	11/16/2024	08:00	Joel Wallen	11-DEC-24 03.52.35.598000 PM
Industrial	1 08I004046	178203	2024	1316098	Qualifying Storm Event	CL-1	Effluent Monitoring		41.746537	-124.17697	2792487	11/15/2024	07:00	11/13/2024	00:00	Lead, Total	ND		mg/L	E200.7	1.6	5	11/16/2024	08:00	Joel Wallen	11-DEC-24 03.52.35.598000 PM
Industrial	1 08I004046	178203	2024	1316098	Qualifying Storm Event	CL-1	Effluent Monitoring		41.746537	-124.17697	2792487	11/15/2024	07:00	11/13/2024	00:00	pH	=	6.3	SU	A4500HB	3	10	11/16/2024	08:00	Joel Wallen	11-DEC-24 03.52.35.598000 PM
Industrial	1 08I004046	178203	2024	1316098	Qualifying Storm Event	CL-1	Effluent Monitoring		41.746537	-124.17697	2792487	11/15/2024	07:00	11/13/2024	00:00	Total Suspended Solids (TSS)	=	1.8	mg/L	A2540D	1	2.5	11/16/2024	08:00	Joel Wallen	11-DEC-24 03.52.35.598000 PM
Industrial	1 08I004046	178203	2024	1327983	Qualifying Storm Event	CL-1	Effluent Monitoring		41.746537	-124.17697	2820273	02/17/2025	14:00	02/15/2025	00:00	pH	=	6.5	SU	A4500HB	3	10	02/18/2025	08:00	Joel Wallen	03-APR-25 02.52.46.523000 PM
Industrial	1 08I004046	178203	2024	1327983	Qualifying Storm Event	CL-1	Effluent Monitoring		41.746537	-124.17697	2820273	02/17/2025	14:00	02/15/2025	00:00	Lead, Total	=	.00082	mg/L	E200.8	.43	1	02/18/2025	08:00	Joel Wallen	03-APR-25 02.52.46.523000 PM
Industrial	1 08I004046	178203	2024	1327983	Qualifying Storm Event	CL-1	Effluent Monitoring		41.746537	-124.17697	2820273	02/17/2025	14:00	02/15/2025	00:00	Total Suspended Solids (TSS)	=	2	mg/L	A2540D	2.5	4.7	02/18/2025	08:00	Joel Wallen	03-APR-25 02.52.46.523000 PM
Industrial	1 08I004046	178203	2024	1327983	Qualifying Storm Event	CL-1	Effluent Monitoring		41.746537	-124.17697	2820273	02/17/2025	14:00	02/15/2025	00:00	Oil and Grease	ND		mg/L	E1664B	2.5	4.7	02/18/2025	08:00	Joel Wallen	03-APR-25 02.52.46.523000 PM
Industrial	1 08I004046	178203	2024	1327983	Qualifying Storm Event	CL-1	Effluent Monitoring		41.746537	-124.17697	2820273	02/17/2025	14:00	02/15/2025	00:00	Zinc, Total	=	.011	mg/L	E200.8	4.6	5	02/18/2025	08:00	Joel Wallen	03-APR-25 02.52.46.523000 PM
Industrial	1 08I004046	178203	2024	1331099	Qualifying Storm Event	CL-1	Effluent Monitoring		41.746537	-124.17697	2826205	04/08/2025	07:00	04/07/2025	00:00	Total Suspended Solids (TSS)	=	2	mg/L	A2540D	1	2.5	04/09/2025	08:00	Joel Wallen	14-MAY-25 02.07.25.182000 PM
Industrial	1 08I004046	178203	2024	1331099	Qualifying Storm Event	CL-1	Effluent Monitoring		41.746537	-124.17697	2826205	04/08/2025	07:00	04/07/2025	00:00	Oil and Grease	ND		mg/L	E1664B	2.5	4.9	04/09/2025	08:00	Joel Wallen	14-MAY-25 02.07.25.182000 PM
Industrial	1 08I004046	178203	2024	1331099	Qualifying Storm Event	CL-1	Effluent Monitoring		41.746537	-124.17697	2826205	04/08/2025	07:00	04/07/2025	00:00	Zinc, Total	=	.0111	mg/L	E200.8	4.6	5	04/09/2025	08:00	Joel Wallen	14-MAY-25 02.07.25.182000 PM
Industrial	1 08I004046	178203	2024	1331099	Qualifying Storm Event	CL-1	Effluent Monitoring		41.746537	-124.17697	2826205	04/08/2025	07:00	04/07/2025	00:00	Lead, Total	=	.00047	mg/L	E200.8	.43	1	04/09/2025	08:00	Joel Wallen	14-MAY-25 02.07.25.182000 PM
Industrial	1 08I004046	178203	2024	1331099	Qualifying Storm Event	CL-1	Effluent Monitoring		41.746537	-124.17697	2826205	04/08/2025	07:00	04/07/2025	00:00	pH	=	6.6	SU	A4500HB	3	10	04/09/2025	08:00	Joel Wallen	14-MAY-25 02.07.25.182000 PM
Industrial	1 08I015378	178204	2015	858929	Qualifying Storm Event	SP-1	Effluent Monitoring		41.767795	-124.188365	2148097	12/03/2015	11:30			Iron, Total Recoverable	=	3.2	mg/L	E200.7	.02				bruce gates	05-JAN-16 03.48.39.237000 PM
Industrial	1 08I015378	178204	2015	858929	Qualifying Storm Event	SP-1	Effluent Monitoring		41.767795	-124.188365	2148097	12/03/2015	11:30			Oil and Grease	=	12	mg/L	E1664A	1.4				bruce gates	05-JAN-16 03.48.39.237000 PM
