PERMIT_TYPE	APP_ID	WDID	STATUS	NOI_PROCESSED_DATE	NOT_EFFECTIVE_DATE	REGION_BOARD	COUNTY	OPERATOR_NAME	FACILITY_NAME	FACILITY_ADDRESS	FACILITY_ADDRESS_2	FACILITY_CITY	FACILITY_STATE	FACILITY_ZIP	FACILITY_LATITUDE	FACILITY_LONGITUDE	FACILITY_COUNTY	FACILITY_CONTACT_FIRST_NAME	FACILITY_CONTACT_LAST_NAME	FACILITY_TITLE	FACILITY_PHONE	FACILITY_EMAIL	FACILITY_TOTAL_SIZE	FACILITY_TOTAL_SIZE_UNIT	FACILITY_AREA_ACTIVITY	FACILITY_AREA_ACTIVITY_UNIT	PERCENT_OF_SITE_IMPERVIOUSNESS	PRIMARY_SIC	SECONDARY_SIC	TERTIARY_SIC	RECEIVING_WATER_NAME	INDIRECTLY	DIRECTLY	CERTIFIER_BY	CERTIFIER_TITLE	CERTIFICATION_DATE	QUESTION_TMDL_ANSWER
Industrial	178209	1 08I018358	Terminated	09/22/2003	07/27/2015	1	Del Norte	Green Diamond Resource Company	Klamath Woodwaste Landfill 	Klamath Mill Rd		Klamath	CA	95548	41.524308	-124.0331	Del Norte	Theresa	 Taylor	Environmental Administrator	707-668-3782	Theresa.Taylor@greendiamond.com	9	Acres	0	Acres		4953-Refuse Systems			Hoppa Creek Klamath River	Y	N	Theresa Taylor	Safety Environmental Compliance Administrator	27-JUL-15 04.10.41.000000 PM	 
Industrial	178209	1 08NEC000169	Active	09/22/2003		1	Del Norte	Green Diamond Resource Company	Klamath Woodwaste Landfill 	Klamath Mill Rd		Klamath	CA	95548	41.524308	-124.0331	Del Norte	Theresa	 Taylor	Environmental Administrator	707-668-3782	Theresa.Taylor@greendiamond.com	9	Acres	0	Acres		4953-Refuse Systems			Hoppa Creek Klamath River	Y	N	Theresa Taylor	Safety Environmental Compliance Administrator	04-SEP-24 12.14.47.696000 PM	 
Industrial	178210	1 08I019099	Terminated	10/14/2004	07/01/2015	1	Del Norte	Del Norte Solid Waste Management Authority	Del Norte County Transfer Station	1700 State St		Crescent City	CA	95531	41.754656	-124.166092	Del Norte	Tedd	Ward	Director	707-465-1100	tedd@recycledelnorte.ca.gov	13	Acres	0	Acres		5093-Scrap and Waste Materials	4212-Local Trucking Without Storage		Pacific Ocean Coastal Waters	Y	N	Tedd Ward	Acting Director	01-JUL-15 03.47.38.000000 PM	 
Industrial	178210	1 08NEC000018	Active	10/14/2004		1	Del Norte	Del Norte Solid Waste Management Authority	Del Norte County Transfer Station	1700 State St		Crescent City	CA	95531	41.754656	-124.166092	Del Norte	Tedd	Ward	Director	707-465-1100	tedd@recycledelnorte.ca.gov	13	Acres	0	Acres		5093-Scrap and Waste Materials	4212-Local Trucking Without Storage		Pacific Ocean Coastal Waters	Y	N	Tedd Ward	Acting Director	09-JAN-25 03.27.32.389000 PM	 
Industrial	178265	1 12I000235	Terminated	03/06/1992	12/04/2015	1	Humboldt	Humboldt County Department of Aviation	Redway Transfer Station	Conservation Camp Drive		Redway	CA	95540	40.141632	-123.817643	Humboldt	Kris	Mobley	Operations Manager	707-725-5156	erkrism@sbcglobal.net	3.5	Acres	0	Acres		4212-Local Trucking Without Storage			Eel River	Y	N	Ryan Cooley	Director of Aviation	24-JUN-25 09.50.02.124000 AM	 
Industrial	178266	1 12I000356	Active	03/11/1992		1	Humboldt	Humboldt County Department of Aviation	Murry Field 	1106 2nd St		Eureka	CA	95501	40.804387	-124.117205	Humboldt	Ryan	Cooley	Director of Aviation	707-839-5401	rcooley@co.humboldt.ca.us	104	Acres	1	Acres		4581-Airports, Flying Fields, and Airport Terminal Services			Eureka Slough 	Y	N	Ryan Cooley	Director of Aviation	24-JUN-25 09.50.02.157000 AM	 
Industrial	178267	1 12I000357	Active	03/11/1992		1	Humboldt	Humboldt County Department of Aviation	Arcata Eureka Airport 	1106 2nd St		Eureka	CA	95501	40.973321	-124.108505	Humboldt	Ryan	Cooley	Director of Aviation	707-839-5401	rcooley@co.humboldt.ca.us	414	Acres	12	Acres		4581-Airports, Flying Fields, and Airport Terminal Services			Widow White Cr And Strawberry and Mad River	Y	N	Ryan Cooley	Director of Aviation	24-JUN-25 09.50.02.209000 AM	 
Industrial	178268	1 12I000440	Terminated	03/13/1992	03/06/2019	1	Humboldt	Sierra Pacific Industries Arcata	SIERRA PACIFIC IND ARCATA DIV	2293 SAMOA		Arcata	CA	95521	40.864704	-124.109817	Humboldt	Nadine	 Raymond	Enviromental Coordinator	530-275-9790	Nraymond@spi-ind.com	10	Acres	10	Acres		2421-Sawmills and Planing Mills, General			Humboldt Bay	N	N	Nadine Raymond	Environmental Coordinator	04-MAY-15 09.15.30.740000 AM	 
Industrial	178269	1 12I000979	Terminated	01/28/1993	08/20/2008	1	Humboldt	Britt Lumber Co Inc 	Britt Lumber Co Inc 	105 Alder Grove Rd		Arcata	CA	95521	40.9013	-124.072318	Humboldt	C.	Moyer		707-822-1779	britt@reninet.com	16	Acres		 	1	2411-Logging			James Creek-humboldt Bay						 
Industrial	178270	1 12I001192	Active	03/26/1992		1	Humboldt	Humboldt Transit Authority	Humboldt Transit Authority	North Range 1 West		Eureka	CA	95501	40.792822	-124.151192	Humboldt	Jim	 Wilson 	Facilities Manager  	707-443-0828	jim@hta.org	2.18	Acres	1.5	Acres	92	4173-Terminal and Service Facilities for Motor Vehicle Passenger Transportation			Humboldt Bay	Y	N	Jim Wilson	Facilities Manager	04-MAY-15 11.52.32.815000 AM	 
Industrial	178271	1 12I001233	Active	03/26/1992		1	Humboldt	Schmidbauer Lumber Inc	Schmidbauer Lumber Inc	Foot Of Clark		Eureka	CA	95501	40.792822	-124.151192	Humboldt	Lincoln	Crnich	Safety Manager	707-443-7024	lincolnc@schmidbauerlumber.com	24	Acres	12	Acres		2421-Sawmills and Planing Mills, General			Humboldt Bay	Y	N	Del Clark	Safety Manager	23-JAN-15 02.16.45.751000 PM	 
Industrial	178272	1 12I001458	Terminated	03/27/1992	01/07/2011	1	Humboldt	Bettendorf Trucking	Bettendorf Trucking	5540 West End Rd		Arcata	CA	95521	40.90455	-124.07127	Humboldt	LAURIE	Ervin		707-822-2901	edjo@humboldt1.com	5	Acres		 		4214-Local Trucking with Storage			Mad River						 
Industrial	178273	1 12I001570	Terminated	03/27/1992	08/25/2021	1	Humboldt	Alto Bros Trucking Inc 	Alto Bros Trucking Inc 	7803 Myrtle Ave		Eureka	CA	95503	40.808283	-124.087581	Humboldt	Gary	Alto	Manager	707-445-9231	abjenn@sonic.net	5	Acres	4	Acres	0	4214-Local Trucking with Storage			Humboldt Bay	Y	N	Gary Alto	Manager	23-APR-15 03.42.44.877000 PM	 
Industrial	178274	1 12I001578	Terminated	03/27/1992	12/13/2019	1	Humboldt	Alto Bros Trucking Inc 	Alto Bros Trucking Inc 	3610 Old Arcata Rd		Arcata	CA	95521	40.854642	-124.070206	Humboldt	Cecil	Alto		707-445-9231	abjenn@sonic.net	3	Acres	1.75	Acres	0	4214-Local Trucking with Storage			Humboldt Bay	Y	N	Gary Alto	Manager	14-DEC-15 03.02.05.460000 PM	 
Industrial	178275	1 12I002074	Terminated	03/30/1992	12/21/2022	1	Humboldt	United Parcel Service Oakland Hub	UPS Eureka CAEUR	712 W Clark St		Eureka	CA	95501	40.79717	-124.178265	Humboldt	Tara	Hickman	Corporate Environmental Coordinator	209-272-4631	0386env@ups.com	42179	SqFt	0	Sqft	0	4215-Courier Services Except by Air			Eureka Plain HU Hombolt Bay	Y	N	Jennifer  Trigos	District Environmental Cooridinated 	08-NOV-22 04.19.24.000000 PM	 
Industrial	178275	1 12NEC011745	Active	03/30/1992		1	Humboldt	United Parcel Service Oakland Hub	UPS Eureka CAEUR	712 W Clark St		Eureka	CA	95501	40.79717	-124.178265	Humboldt	Tara	Hickman	Corporate Environmental Coordinator	209-272-4631	0386env@ups.com	42179	SqFt	0	Sqft	0	4215-Courier Services Except by Air			Eureka Plain HU Hombolt Bay	Y	N	Jennifer  Trigos	District Environmental Cooridinated 	24-SEP-24 04.20.26.355000 PM	 
Industrial	178276	1 12I002293	Terminated	03/31/1992	12/15/2008	1	Humboldt	Palco (non-stormwater sites)	Yager Camp 	2115 Fisher Rd		Hydesville	CA	95547	40.530937	-124.078022	Humboldt	Robert	Vogt		707-764-4268	rvogt@palco.com	60	Acres		 		2411-Logging	4213-Trucking, Except Local		Yager Creek						 
Industrial	178277	1 12I002450	Active	04/01/1992		1	Humboldt	Recology Humboldt Cnty	Recology Humboldt County	949 W Hawthorne St		Eureka	CA	95501	40.789023	-124.181191	Humboldt	Frank	Nelson	General Manager	707-298-8911	fnelson@recology.com	1.84	Acres	1.5	Acres		4212-Local Trucking Without Storage			Palco Marsh Thence Humboldt B	Y	N	Frank Nelson	Mr	20-SEP-23 10.30.59.787000 AM	 
Industrial	178278	1 12I002815	Terminated	04/02/1992	09/16/2003	1	Humboldt	Eel River Sawmills 	Eel River Sawmills 	1053 Northwestern Ave		Fortuna	CA	95540	40.512419	-124.123643	Humboldt	Rick	Steed	President	707-725-6911		40	Acres		 		2421-Sawmills and Planing Mills, General			Eel River						 
Industrial	178279	1 12I002987	Terminated	04/02/1992	07/28/2020	1	Humboldt	David Fonsen 	Environmental Tech 	300 S Bay Depot Rd		Fields Landing	CA	95537	40.722636	-124.217394	Humboldt	Lori	Shockley	Operations Manager	707-443-9323	lshockley@eti-usa.com	4	Acres		 		2851-Paints, Varnishes, Lacquers, Enamels, and Allied Products			Humboldt Bay	Y	N	Lori Shockley	Operations Manager	24-MAR-15 11.52.23.498000 AM	 
Industrial	178280	1 12I003175	Terminated	04/03/1992		1	Humboldt	DAMASSA, PETE & FLOYD	ROGERS GARAGE	1622 OLD ARCATA		Bayside	CA	95524	40.849373	-124.068765	Humboldt	PETE	DAMASSA		707-822-2931		2	Acres		 		5015-Motor Vehicle Parts, Used	5093-Scrap and Waste Materials		Humboldt Bay						 
Industrial	178281	1 12I003717	Terminated	04/06/1992	05/14/2007	1	Humboldt	Adams, Jim E	Tosten Bear Butte Borrow Site 	Parcel 212 043 01		Miranda	CA	95553			Humboldt	Jim	Adams		707-445-9334		160	Acres		 	25	1442-Construction Sand and Gravel			Butte Creek						 
Industrial	178282	1 12I003985	Active	04/03/1992		1	Humboldt	Bettendorf Enterprises Inc	BETTENDORF ENTERPRISES INC	4545 END		Arcata	CA	95521	40.897813	-124.075341	Humboldt	Bob	Phipps		707-822-8271	bob@bettendorftrucking.com	2	Acres	2	Acres		4213-Trucking, Except Local			Humboldt Bay		N	Bob Phipps	Maintenance Supervisor	20-APR-15 11.19.49.656000 AM	 
Industrial	178283	1 12I005222	Terminated	04/09/1992		1	Humboldt	Palco (non-stormwater sites)	Fortuna Mill Site 	1440 Newburg Rd		Fortuna	CA	95540	40.588677	-124.152149	Humboldt	Robert	Vogt		707-764-4268	rvogt@palco.com	75	Acres		 		2421-Sawmills and Planing Mills, General	4213-Trucking, Except Local		Strongs Creek						 
Industrial	178284	1 12I005223	Terminated	04/09/1992		1	Humboldt	Palco (non-stormwater sites)	Carlotta Mill Site 	5111 Hwy 36		Hydesville	CA	95547			Humboldt	Robert	Vogt		707-764-4268	rvogt@palco.com	60	Acres		 		2421-Sawmills and Planing Mills, General			Yager Creek						 
Industrial	178285	1 12I005226	Terminated	04/09/1992		1	Humboldt	Eel River Sawmills 	Eel River Sawmills Redcrest 	26011 Avenue Of The Giants		Redcrest	CA	95569			Humboldt	Rick	Steed		707-725-6911		21	Acres		 		2421-Sawmills and Planing Mills, General			Eel River						 
Industrial	178286	1 12I006462	Terminated	04/24/1992	11/01/2017	1	Humboldt	Coca Cola Bottling Company of LA	BCI Coca Cola Bottling Company of LA	1335 Albee St		Eureka	CA	95501	40.7943	-124.17579	Humboldt	Jason	Newham	Distribution Center Manager	707-443-2796	jnewham@coca-cola.com	.68	Acres	.26	Acres		4213-Trucking, Except Local			Humboldt Bay	Y	N	Jason Newham	Distribution Center Manager	08-JUN-15 03.54.49.872000 PM	 
Industrial	178287	1 12I006640	Terminated	04/30/1992	12/14/2016	1	Humboldt	Arcata Garbage Co 	Arcata Garbage Co 	30 S G St		Arcata	CA	95521	40.860549	-124.088931	Humboldt	Rick	Fusi	President	707-822-0304	arcatagarbageco@sbcglobal.net	1	Acres	1	Acres		4212-Local Trucking Without Storage			Humboldt Bay	Y	N	RHEANNON OKEY	OFFICE ASSISTANT	28-MAY-15 11.44.29.495000 AM	 
Industrial	178288	1 12I007011	Active	05/27/1992		1	Humboldt	Eureka City School	Eureka City Schools Corp Yard 	642 W 14th St		Eureka	CA	95501	40.794116	-124.176901	Humboldt	Tiffany	James	Director of Transportation  Risk Management	707-441-2503	jamest@eurekacityschools.org	119400	SqFt	48400	Sqft	0	4151-School Buses			Humboldt Bay	N	Y	Tiffany Winter	Director of Transportation	12-JAN-24 04.30.57.739000 PM	 
Industrial	178289	1 12I007066	Terminated	06/22/1992	11/10/2006	1	Humboldt	Simpson Timber Co 	Simpson Timber Co Brainard 	5151 Hwy 101 North		Eureka	CA	95518			Humboldt	Rob	Ricci		707-268-3042	rricci@simpson.com	40	Acres		 		2421-Sawmills and Planing Mills, General			Humbaldt Bay						 
Industrial	178290	1 12I007197	Terminated	06/09/1992	01/01/2007	1	Humboldt	Simpson Timber Co 	Simpson Timber Co Mill A 	645 Bald Hills Rd		Orick	CA	95555	41.301656	-124.047621	Humboldt	Rob	Ricci		707-268-3042	rricci@simpson.com	11	Acres		 		2421-Sawmills and Planing Mills, General			Redwood Creek						 
Industrial	178291	1 12I007337	Terminated	07/02/1993	03/03/2014	1	Humboldt	Calgon Carbon Corp 	Calgon Carbon Corp 	501 Hatchery Rd	PO box  857	Blue Lake	CA	95525	40.87839	-123.99192	Humboldt	Jeremy	Dolan	Plant Manager	928-683-6068	jdolan@calgoncarbon-us.com	2	Acres		 	100	2869-Industrial Organic Chemicals, NEC			Mad River	N	Y	Mardee Harvey		29-JUN-10 09.02.20.895000 AM	 
Industrial	178292	1 12I009561	Terminated	12/12/1992	06/26/2009	1	Humboldt	Tonkin Construction Co	Tonkin Const Co Liscomb Hill Quarry	Se 1 4 Of Se 1 4 Of Sect 8		Blue Lake	CA	95525			Humboldt	Art	Tonkin		530-629-2365		1	Acres		 		1429-Crushed and Broken Stone, NEC			Noisy Creek						 
Industrial	178293	1 12I009617	Active	12/22/1992		1	Humboldt	Chevron USA Production Co	Chevron Prod Co Eureka Terminal	3400 Christie St		Eureka	CA	95503	40.777085	-124.193967	Humboldt	Jerry	Henderson	Operations Manager	503-539-4019	hendersonj@chevron.com	150000	SqFt	125000	Sqft	90	5171-Petroleum Bulk Stations and Terminals			Humboldt Bay	N	Y	Gerald Henderson	NW Operations Manager	10-DEC-20 09.47.08.336000 AM	 
Industrial	178294	1 12I010173	Active	06/23/1993		1	Humboldt	Johns Used Cars  Wreckers 	Johns Used Cars  Wreckers 	3008 Jacobs Ave		Eureka	CA	95501	40.804844	-124.133067	Humboldt	Rick	Fox	CEO	707-443-7065	rvfox17@gmail.com	4	Acres	3.75	Acres	20	5015-Motor Vehicle Parts, Used			Humboldt Bay	N	Y	Rick Fox	CEO	11-FEB-15 10.18.27.401000 AM	 
Industrial	178295	1 12I010398	Terminated	08/02/1993		1	Humboldt	BLUE LAKE FOREST PRODUCTS	BLUE LAKE FOREST PRODUCTS	1619 GLENDALE DR		Arcata	CA	95521			Humboldt	BRUCE	TAYLOR		707-822-9403		66	Acres		 	0	2421-Sawmills and Planing Mills, General	2491-Wood Preserving		Mad River						 
Industrial	178296	1 12I010469	Terminated	08/17/1993	06/30/2016	1	Humboldt	Hensell Materials Inc 	Hensell Materials Inc 	4475 Broadway St		Eureka	CA	95503	40.765662	-124.191472	Humboldt	Brice	Weyer	CEO	707-443-9785	brice@hensellmaterials.com	4	Acres	4	Acres	75	4214-Local Trucking with Storage			Elk River	Y	N	Brice Weyer	CEO	26-MAY-15 10.44.00.493000 AM	 
Industrial	178297	1 12I010621	Active	09/21/1993		1	Humboldt	Hilfiker Pipe Company	Hilfiker Pipe Co 	3900 Boadway		Eureka	CA	95503	40.770442	-124.1912	Humboldt	Michael	Burkhart	Administrative Coordinator	707-443-5091	mburkhart@hilfiker.com	8	Acres	5.3	Acres		3356-Rolling, Drawing, and Extruding of Nonferrous Metals, Except Copper and Aluminum			Humboldt Bay	Y	N	Kerry Glavich	Administrative Coordinator	16-JUN-15 09.48.41.479000 AM	 
Industrial	178298	1 12I010714	Terminated	11/03/1993	09/09/2017	1	Humboldt	Sierra Pacific Industries Arcata	Sierra Pac Industries 	1206 14th St		Eureka	CA	95501	40.795672	-124.156552	Humboldt	Jerry	Kelley	Facility Manager	707-443-3111	jekelley@spi-ind.com	22	Acres	0	Acres		2411-Logging			Pacific Ocean	N	N	Jerry Kelley	Facility Manager	24-JUN-15 12.32.55.805000 PM	 
Industrial	178299	1 12I010784	Terminated	12/08/1993	06/29/1998	1	Humboldt	Pacific Gas  Electric Co 	Humboldt Bay Power Plant 	King Salmon Rd		Eureka	CA	95501			Humboldt	Peter	Rigney		707-444-0700		143	Acres		 		4911-Electric Services			Humboldt Bay	Y		IAIN Baker	Manager	22-SEP-23 01.07.33.096000 PM	 
Industrial	178300	1 12I010882	Terminated	01/31/1994	06/24/2008	1	Humboldt	North American Power Group 	Ultrapower 3 	PO Box 1158		Blue Lake	CA	95525			Humboldt						20	Acres		 	100	4911-Electric Services			Mad River						 
Industrial	178301	1 12I012190	Terminated	03/05/1996	01/20/2019	1	Humboldt	L  M Renner Inc 	L  M Renner Inc Tosco Bulk Pl	1200 Railroad St		Eureka	CA	95501	40.795108	-124.183434	Humboldt	Michael	Renner	President	707-443-1645	mrenner@rennerpetroleum.com	5	Acres	5	Acres	98	5171-Petroleum Bulk Stations and Terminals			Humboldt Bay	Y	N	Robert Anderson	Risk and Regulatory Coordinator	09-APR-18 03.16.13.726000 PM	 
Industrial	178302	1 12I012425	Terminated	07/11/1996	08/05/2014	1	Humboldt	John N Petersen Inc 	John N Petersen Inc May Ranch Quarry	May Ranch Quarry		Bridgeville	CA		40.469306	-123.799763	Humboldt	JOHN	Petersen				6	Acres		 		1429-Crushed and Broken Stone, NEC	1442-Construction Sand and Gravel		Brown Creek						 
Industrial	178303	1 12I012515	Terminated	08/26/1996	05/05/2005	1	Humboldt	Morris Walton Jr 	Kernen Construction	1195 Hatchery Rd		Blue Lake	CA	95525			Humboldt	Robert	Porter	Jr	707-825-8342		2			 	90	2951-Asphalt Paving Mixtures and Blocks			Mad River						 
Industrial	178304	1 12I012594	Terminated	10/15/1996	01/01/2005	1	Humboldt	Northcoast Quality Compost	Northcoast Quality Compost 	3000 Saint Louis Rd		Arcata	CA	95521	40.887316	-124.081606	Humboldt	BRADLEY	Rother		707-822-4119		100000	SqFt		 		2875-Fertilizers, Mixing Only			Humboldt Bay						 
Industrial	178305	1 12I012653	Active	11/22/1996		1	Humboldt	Mike Mitchell	Redwood Coast Trucking 	2210 Peninsula Dr		Arcata	CA	95521	40.837648	-124.170922	Humboldt	Mike	Mitchell	President	707-443-0857	rct@suddenlinkmail.com	214000	SqFt	5	Acres		4213-Trucking, Except Local			Humboldt Bay	Y	N	Mike Mitchell	President	27-JAN-15 03.42.46.732000 PM	 
Industrial	178306	1 12I012825	Active	01/15/1997		1	Humboldt	Humboldt Sanitation  Recycle 	Humboldt Sanitation  Recycle 	2585 Central Ave	PO Box 2812	Mc Kinleyville	CA	95519	40.952588	-124.100894	Humboldt	Tasha	Eisner	Vice President	707-839-3285	teisner@humboldtsanitation.com	1	Acres	1	Acres		4212-Local Trucking Without Storage			Widow White Creek	Y	N	Gregory Cain	President	19-MAY-15 10.15.08.680000 AM	 
Industrial	178307	1 12I012939	Terminated	03/04/1997	08/01/2013	1	Humboldt	Brown, Wade Preseton 	Browns Towing & Dismantling 	55 Meyers Ave		Myers Flat	CA	95554	40.293415	-123.8174	Humboldt	Wade	Brown		707-943-3723		1	Acres		 	0	5015-Motor Vehicle Parts, Used			Eel River						 
Industrial	178308	1 12I014229	Terminated	06/23/1998	05/04/2005	1	Humboldt	Kable, Philip 	Kable, Philip 	1483 Fay Ave		Samoa	CA	95564	40.798689	-124.199737	Humboldt	PHILIP	Kable		707-442-9101		2	Acres		 		3732-Boat  Building and Repairing			Humboldt Bay						 
Industrial	178309	1 12I014283	Terminated	07/01/1998	01/01/2007	1	Humboldt	Simpson Timber Co 	Simpson Timber Co 	1 Jim Smith Dr		Samoa	CA	95564			Humboldt	Rob	Ricci		707-268-3042	rricci@simpson.com	357	Acres		 		2421-Sawmills and Planing Mills, General			Humboldt Bay						 
Industrial	178310	1 12I014464	Terminated	08/17/1998	06/30/2010	1	Mendocino	Railways Inc Northwestern Pacific	Railways Inc Northwestern Pac 	419 Talmage Rd Ste M		Ukiah	CA	95482	39.136195	-123.201194	Mendocino	Glendon	Babcock		7074448055		2	Acres		 		4011-Railroads, Line-haul Operating			Humboldt Bay						 
Industrial	178311	1 12I015025	Terminated	03/23/1999	10/01/2018	1	Humboldt	Buddys Auto Center Inc	Buddys Auto Center Inc	39421 Hwy 299		Willow Creek	CA	95573	40.934961	-123.62488	Humboldt	Rick	Stewart		530-629-2424	buddyauto@jps.net	1	Acres		 	70	5015-Motor Vehicle Parts, Used			Trinity River	Y	N	Richard Stewart	CEO	12-AUG-15 10.18.31.395000 AM	 
Industrial	178312	1 12I015479	Terminated	11/09/1999	07/07/2010	1	Humboldt	United Rentals 	United Rentals Branch 257	3132 Jacobs Ave		Eureka	CA	95501	40.804708	-124.131983	Humboldt	Janice	Clements		707-442-9378		115800	SqFt		 	71	4225-General Warehousing and Storage									 
Industrial	178313	1 12I015485	Terminated	11/09/1999	11/30/2020	1	Humboldt	C  K Johnson Industries 	C  K Johnson Industries 	1061 Samoa Blvd		Arcata	CA	95521	40.865681	-124.091059	Humboldt	Jesse	Johnson	Vice President	707-822-7687	ckjohnsonind@yahoo.com	5	Acres	2	Acres		3499-Fabricated Metal Products, NEC	2421-Sawmills and Planing Mills, General		Humbolt Bay	Y	N	Jesse Johnson	VP	28-MAY-15 09.07.38.167000 AM	 
Industrial	178314	1 12I015562	Active	12/28/1999		1	Humboldt	Roger Brown	R Brown  Sons Quarry 	Highway 299 PM 3568		Willow Creek	CA	95573	40.950324	-123.64902	Humboldt	Roger	Brown	Owner	530-629-3702	rbrown@rbrownconstruction.net	78	Acres	10	Acres	0	1429-Crushed and Broken Stone, NEC			Willow Creek	Y	N	Roger Brown	President	27-MAR-15 01.01.07.998000 PM	 
